,cluster,총_상주인구_수,상권_구분_코드_명,상권_코드_명,총_생활인구_수,총_직장_인구_수,점포_수,아파트_단지_수,집객시설_수,교통시설_수,학교_수,분기당_매출_금액,분기당_매출_건수
1,3,0.2487472836507733,관광특구,이태원,0.4428329635141219,0.055699704283125,0.2376237623762376,0.0938327157226045,0.2428330522765598,0.5576923076923077,0.0,0.1913058468895595,0.1546321557235663
14,3,0.0,골목상권,강남대로,0.0,0.0020795573786129,0.0,0.0,0.0118043844856661,0.0,0.0,0.0,0.0
15,3,0.0,골목상권,강남대로,0.0,0.0483640179337975,0.0,0.0,0.0134907251264755,0.0192307692307692,0.0,0.0,0.0
16,3,0.0,골목상권,강남대로,0.0,0.0136697510254698,0.0,0.0,0.0016863406408094,0.0,0.0,0.0,0.0
17,3,0.0,골목상권,강남대로,0.0,0.0276352189258799,0.0,0.0,0.0033726812816188,0.0,0.0,0.0,0.0
18,3,0.0,골목상권,강남대로,0.0,0.0165410664886005,0.0,0.0,0.0084317032040472,0.0,0.0,0.0,0.0
19,3,0.0,골목상권,강남대로,0.0,0.0176476199561194,0.0,0.0,0.0067453625632377,0.0,0.0,0.0,0.0
172,3,0.0,골목상권,노량진,0.0,0.0029285509873127,0.0,0.0,0.0067453625632377,0.0,0.0,0.0,0.0
263,3,0.0,골목상권,도산대로,0.0,0.0011733282457311,0.0,0.0,0.0016863406408094,0.0,0.0,0.0,0.0
264,3,0.0,골목상권,도산대로,0.0,0.0040541829628923,0.0,0.0,0.0033726812816188,0.0,0.0,0.0,0.0
265,3,0.0,골목상권,도산대로,0.0,0.0300772679576457,0.0,0.0,0.0134907251264755,0.0384615384615384,0.2727272727272727,0.0,0.0
266,3,0.0,골목상권,도산대로,0.0,0.0099494419536392,0.0,0.0,0.0016863406408094,0.0,0.0,0.0,0.0
267,3,0.0,골목상권,도산대로,0.0,0.025612897071449,0.0,0.0,0.0033726812816188,0.0,0.0,0.0,0.0
268,3,0.0,골목상권,도산대로,0.0,0.0295144519698559,0.0,0.0,0.0202360876897133,0.0192307692307692,0.0,0.0,0.0
269,3,0.0,골목상권,도산대로,0.0,0.0122484021749499,0.0,0.0,0.0118043844856661,0.0,0.0,0.0,0.0
353,3,0.0,골목상권,뚝섬,0.0,0.0019937040923399,0.0,0.0,0.0050590219224283,0.0,0.0,0.0,0.0
354,3,0.0,골목상권,뚝섬,0.0,0.0010588571973671,0.0,0.0,0.0168634064080944,0.0,0.0909090909090909,0.0,0.0
355,3,0.0,골목상권,뚝섬,0.0,0.0021749499189163,0.0,0.0,0.0202360876897133,0.0961538461538461,0.0909090909090909,0.0,0.0
356,3,0.0,골목상권,뚝섬,0.0,0.0090432128207574,0.0,0.0,0.0067453625632377,0.0,0.0,0.0,0.0
357,3,0.0,골목상권,뚝섬,0.0,0.002651912620433,0.0,0.0,0.0168634064080944,0.0384615384615384,0.0,0.0,0.0
358,3,0.0,골목상권,뚝섬,0.0,0.0203758466087951,0.0,0.0,0.0101180438448566,0.0384615384615384,0.0909090909090909,0.0,0.0
359,3,0.0,골목상권,뚝섬,0.0,0.00227988171325,0.0,0.0,0.0168634064080944,0.0384615384615384,0.0,0.0,0.0
390,3,0.0,골목상권,명동,0.0,0.0746923590575217,0.0,0.0,0.0489038785834738,0.1153846153846153,0.0,0.0,0.0
396,3,0.0,골목상권,목동,0.0,0.0076027854621768,0.0,0.0,0.0168634064080944,0.0,0.0,0.0,0.0
397,3,0.0,골목상권,목동,0.0,0.0031956501001621,0.0,0.0,0.0354131534569983,0.0192307692307692,0.0909090909090909,0.0,0.0
398,3,0.0,골목상권,목동,0.0,0.0017552227415816,0.0,0.0,0.0303541315345699,0.173076923076923,0.0,0.0,0.0
399,3,0.0,골목상권,목동,0.0,0.0033482781646475,0.0,0.0,0.0168634064080944,0.0384615384615384,0.0,0.0,0.0
400,3,0.0,골목상권,목동,0.0,0.0073261470952971,0.0,0.0,0.0185497470489038,0.0576923076923076,0.0,0.0,0.0
401,3,0.0,골목상권,목동,0.0,0.0018124582657636,0.0,0.0,0.0202360876897133,0.0192307692307692,0.0,0.0,0.0
402,3,0.0,골목상권,목동,0.0,0.0033005818944958,0.0,0.0,0.0033726812816188,0.0384615384615384,0.0,0.0,0.0
403,3,0.0,골목상권,목동,0.0,0.0014976628827625,0.0,0.0,0.0050590219224283,0.0,0.0,0.0,0.0
404,3,0.0,골목상권,목동,0.0,0.0012496422779738,0.0,0.0,0.0101180438448566,0.0,0.0,0.0,0.0
405,3,0.0,골목상권,목동,0.0,0.0046551559668033,0.0,0.0,0.0016863406408094,0.0,0.0,0.0,0.0
406,3,0.0,골목상권,목동,0.0,0.0016312124391872,0.0,0.0,0.0118043844856661,0.0,0.0,0.0,0.0
407,3,0.0,골목상권,목동,0.0,0.0007154440522751,0.0,0.0,0.0067453625632377,0.0384615384615384,0.0,0.0,0.0
408,3,0.0,골목상권,목동,0.0,0.0030239435276161,0.0,0.0,0.0134907251264755,0.0192307692307692,0.0,0.0,0.0
482,3,0.0,골목상권,사당,0.0,0.0022608032051893,0.0,0.0,0.0101180438448566,0.0,0.0,0.0,0.0
483,3,0.0,골목상권,사당,0.0,0.0011065534675188,0.0,0.0,0.0202360876897133,0.0,0.0,0.0,0.0
484,3,0.0,골목상권,사당,0.0,0.0009825431651244,0.0,0.0,0.0033726812816188,0.0,0.0,0.0,0.0
485,3,0.0,골목상권,사당,0.0,0.000343413145092,0.0,0.0,0.0101180438448566,0.0769230769230769,0.0,0.0,0.0
486,3,0.0,골목상권,사당,0.0,0.0030621005437374,0.0,0.0,0.0050590219224283,0.0,0.0,0.0,0.0
487,3,0.0,골목상권,사당,0.0,0.0012210245158828,0.0,0.0,0.0134907251264755,0.0,0.0,0.0,0.0
488,3,0.0,골목상권,사당,0.0,0.0030907183058284,0.0,0.0,0.0185497470489038,0.1346153846153846,0.0,0.0,0.0
489,3,0.0,골목상권,사당,0.0,0.0049031765715921,0.0,0.0,0.0134907251264755,0.0,0.0,0.0,0.0
490,3,0.0,골목상권,사당,0.0,0.0012496422779738,0.0,0.0,0.0219224283305227,0.0769230769230769,0.0,0.0,0.0
597,3,0.0,골목상권,수유,0.0,0.002680530382524,0.0,0.0,0.0387858347386172,0.0384615384615384,0.0,0.0,0.0
711,3,0.0,골목상권,영등포,0.0,0.004702852236955,0.0,0.0,0.026981450252951,0.0192307692307692,0.0,0.0,0.0
712,3,0.0,골목상권,영등포,0.0,0.0028713154631307,0.0,0.0,0.0168634064080944,0.0,0.0,0.0,0.0
713,3,0.0,골목상권,영등포,0.0,0.0032433463703138,0.0,0.0,0.0236087689713322,0.0384615384615384,0.0,0.0,0.0
714,3,0.0,골목상권,영등포,0.0,0.0011256319755795,0.0,0.0,0.0084317032040472,0.0576923076923076,0.0,0.0,0.0
715,3,0.0,골목상권,영등포,0.0,0.0009157683869121,0.0,0.0,0.0033726812816188,0.0,0.0,0.0,0.0
716,3,0.0,골목상권,영등포,0.0,0.0184393780406372,0.0,0.0,0.0236087689713322,0.0769230769230769,0.0,0.0,0.0
745,3,0.0,골목상권,왕십리,0.0,0.0095106362682438,0.0,0.0,0.0151770657672849,0.0384615384615384,0.0,0.0,0.0
746,3,0.0,골목상권,왕십리,0.0,0.0015644376609749,0.0,0.0,0.0101180438448566,0.0384615384615384,0.0,0.0,0.0
747,3,0.0,골목상권,왕십리,0.0,0.0198034913669751,0.0,0.0,0.0455311973018549,0.0769230769230769,0.0,0.0,0.0
748,3,0.0,골목상권,왕십리,0.0,0.0019841648383096,0.0,0.0,0.0236087689713322,0.0576923076923076,0.0909090909090909,0.0,0.0
749,3,0.0,골목상권,왕십리,0.0,0.0051321186683201,0.0,0.0,0.042158516020236,0.0384615384615384,0.0909090909090909,0.0,0.0
797,3,0.0,골목상권,이태원,0.0,0.0054087570351998,0.0,0.0,0.0101180438448566,0.0192307692307692,0.0,0.0,0.0
798,3,0.0,골목상권,이태원,0.0,0.0077458742726318,0.0,0.0,0.0084317032040472,0.0192307692307692,0.0,0.0,0.0
