"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","아파트_단지_수","아파트_면적_66_제곱미터_미만_세대_수","아파트_면적_66_제곱미터_세대_수","아파트_면적_99_제곱미터_세대_수","아파트_면적_132_제곱미터_세대_수","아파트_면적_165_제곱미터_세대_수","아파트_가격_1_억_미만_세대_수","아파트_가격_1_억_세대_수","아파트_가격_2_억_세대_수","아파트_가격_3_억_세대_수","아파트_가격_4_억_세대_수","아파트_가격_5_억_세대_수","아파트_가격_6_억_이상_세대_수","아파트_평균_면적","아파트_평균_시가"
"2022","2","R","전통시장","2130326","고덕 골목형상점가","2","657","5","","","","","2","4","","129","21","506","53","633301800"
"2022","1","R","전통시장","2130326","고덕 골목형상점가","2","657","5","","","","","2","4","","129","21","506","53","633301800"
"2022","2","R","전통시장","2130325","명일전통시장","5","203","372","","","","3","20","1","","123","172","256","61","294384895"
"2022","1","R","전통시장","2130325","명일전통시장","5","203","372","","","","3","20","1","","123","172","256","61","294384895"
"2022","2","R","전통시장","2130324","길동복조리시장","17","147","109","","","","5","80","115","35","21","","","61","207212230"
"2022","1","R","전통시장","2130324","길동복조리시장","17","147","109","","","","5","80","115","35","21","","","61","207212230"
"2022","2","R","전통시장","2130323","둔촌역전통시장","30","145","36","23","2","4","14","123","40","27","5","1","","58","187360555"
"2022","1","R","전통시장","2130323","둔촌역전통시장","30","145","36","23","2","4","14","123","40","27","5","1","","58","187360555"
"2022","2","R","전통시장","2130322","고분다리전통시장","12","100","18","","","","2","56","60","","","","","52","196549542"
"2022","1","R","전통시장","2130322","고분다리전통시장","12","100","18","","","","2","56","60","","","","","52","196549542"
"2022","2","R","전통시장","2130321","장신구 특화거리 상점가","35","431","34","2","","","39","167","161","54","36","9","1","43","208066698"
"2022","1","R","전통시장","2130321","장신구 특화거리 상점가","35","431","34","2","","","39","167","161","54","36","9","1","43","208066698"
"2022","2","R","전통시장","2130320","암사종합시장","17","202","24","5","","","31","121","41","17","20","1","","43","165859299"
"2022","1","R","전통시장","2130320","암사종합시장","17","202","24","5","","","31","121","41","17","20","1","","43","165859299"
"2022","2","R","전통시장","2130319","성내전통시장","12","80","63","1","","","10","58","15","25","36","","","44","176110187"
"2022","1","R","전통시장","2130319","성내전통시장","12","80","63","1","","","10","58","15","25","36","","","44","176110187"
"2022","2","R","전통시장","2130318","로데오거리상점가","2","299","","","","","","296","3","","","","","25","116658217"
"2022","1","R","전통시장","2130318","로데오거리상점가","2","299","","","","","","296","3","","","","","25","116658217"
"2022","2","R","전통시장","2130317","마천중앙시장","10","53","41","","","","2","22","30","19","7","14","","59","291977213"
"2022","1","R","전통시장","2130317","마천중앙시장","10","53","41","","","","2","22","30","19","7","14","","59","291977213"
"2022","2","R","전통시장","2130315","문정동 로데오거리 상점가(문정동 로데오거리)","16","122","26","","1","","22","73","30","11","9","4","","53","234080237"
"2022","1","R","전통시장","2130315","문정동 로데오거리 상점가(문정동 로데오거리)","16","122","26","","1","","22","73","30","11","9","4","","53","234080237"
"2022","2","R","전통시장","2130314","풍납시장","28","138","43","","","","7","101","71","2","","","","53","182398620"
"2022","1","R","전통시장","2130314","풍납시장","28","138","43","","","","7","101","71","2","","","","53","182398620"
"2022","2","R","전통시장","2130313","방이시장","181","1327","185","13","5","19","70","547","711","176","16","10","19","48","226052130"
"2022","1","R","전통시장","2130313","방이시장","181","1327","185","13","5","19","70","547","711","176","16","10","19","48","226052130"
"2022","2","R","전통시장","2130312","석촌시장","19","221","22","1","","","14","94","51","84","1","","","43","230354764"
"2022","1","R","전통시장","2130312","석촌시장","19","221","22","1","","","14","94","51","84","1","","","43","230354764"
"2022","2","R","전통시장","2130311","새마을시장","50","465","20","4","","","8","181","206","80","11","1","2","40","231968485"
"2022","1","R","전통시장","2130311","새마을시장","50","465","20","4","","","8","181","206","80","11","1","2","40","231968485"
"2022","2","R","전통시장","2130307","도곡시장","1","","8","","","","","","","","8","","","75","469000000"
"2022","1","R","전통시장","2130307","도곡시장","1","","8","","","","","","","","8","","","75","469000000"
"2022","2","R","전통시장","2130306","강남언주로","5","38","3","2","1","","","21","14","6","2","","1","54","234460684"
"2022","1","R","전통시장","2130306","강남언주로","5","38","3","2","1","","","21","14","6","2","","1","54","234460684"
"2022","2","R","전통시장","2130305","논현종합시장","3","14","6","1","","8","","","11","5","4","","9","115","587454545"
"2022","1","R","전통시장","2130305","논현종합시장","3","14","6","1","","8","","","11","5","4","","9","115","587454545"
"2022","2","R","전통시장","2130303","영동전통시장","19","214","15","4","1","","","118","77","24","11","2","2","42","246553534"
"2022","1","R","전통시장","2130303","영동전통시장","19","214","15","4","1","","","118","77","24","11","2","2","42","246553534"
"2022","2","R","전통시장","2130302","강남시장(강남구 강남시장)","1","19","37","22","16","","","","3","49","2","6","34","95","486287234"
"2022","1","R","전통시장","2130302","강남시장(강남구 강남시장)","1","19","37","22","16","","","","3","49","2","6","34","95","486287234"
"2022","2","R","전통시장","2130301","양재시장","2","17","","","","","","13","3","1","","","","42","214119048"
"2022","1","R","전통시장","2130301","양재시장","2","17","","","","","","13","3","1","","","","42","214119048"
"2022","2","R","전통시장","2130296","남부종합시장","4","42","","","","","","5","6","18","11","2","","50","334611667"
"2022","1","R","전통시장","2130296","남부종합시장","4","42","","","","","","5","6","18","11","2","","50","334611667"
"2022","2","R","전통시장","2130295","인헌시장(원당종합시장)","10","64","30","","","","18","56","8","","12","","","58","172746343"
"2022","1","R","전통시장","2130295","인헌시장(원당종합시장)","10","64","30","","","","18","56","8","","12","","","58","172746343"
"2022","2","R","전통시장","2130294","관악중부시장","4","52","7","","","","","40","13","5","1","","","51","205326190"
"2022","1","R","전통시장","2130294","관악중부시장","4","52","7","","","","","40","13","5","1","","","51","205326190"
"2022","2","R","전통시장","2130293","봉천중앙시장","4","25","8","","","","","19","14","","","","","51","195631944"
"2022","1","R","전통시장","2130293","봉천중앙시장","4","25","8","","","","","19","14","","","","","51","195631944"
"2022","2","R","전통시장","2130290","영림시장","33","83","76","","","","8","58","33","10","48","2","","57","243906138"
"2022","1","R","전통시장","2130290","영림시장","33","83","76","","","","8","58","33","10","48","2","","57","243906138"
"2022","2","R","전통시장","2130285","서원동상점가","3","127","","","","","86","36","4","1","","","","17","124636525"
"2022","1","R","전통시장","2130285","서원동상점가","3","127","","","","","86","36","4","1","","","","17","124636525"
"2022","2","R","전통시장","2130283","신원시장","5","27","5","1","","","6","20","7","","","","","45","166348825"
"2022","1","R","전통시장","2130283","신원시장","5","27","5","1","","","6","20","7","","","","","45","166348825"
