"지역별(1)","지역별(2)",구분별(1),구분별(2),2021 3/4,2021 4/4
"서울","소계",임대료 (천원/㎡),소계,51.90,51.70
"서울","소계",공실률 (%),소계,9.70,10.00
"서울","소계",수익률 종합 (%),투자수익률,1.78,2.06
"서울","소계",수익률 종합 (%),소득수익률,0.48,0.70
"서울","소계",수익률 종합 (%),자본수익률,1.30,1.36
"도심(시내)","소계",임대료 (천원/㎡),소계,84.20,82.30
"도심(시내)","소계",공실률 (%),소계,17.40,17.90
"도심(시내)","소계",수익률 종합 (%),투자수익률,1.24,1.34
"도심(시내)","소계",수익률 종합 (%),소득수익률,0.44,0.65
"도심(시내)","소계",수익률 종합 (%),자본수익률,0.80,0.68
"도심(시내)","광화문",임대료 (천원/㎡),소계,78.40,78.20
"도심(시내)","광화문",공실률 (%),소계,23.00,23.00
"도심(시내)","광화문",수익률 종합 (%),투자수익률,1.25,1.80
"도심(시내)","광화문",수익률 종합 (%),소득수익률,0.51,0.77
"도심(시내)","광화문",수익률 종합 (%),자본수익률,0.74,1.03
"도심(시내)","남대문",임대료 (천원/㎡),소계,75.90,75.00
"도심(시내)","남대문",공실률 (%),소계,13.70,14.50
"도심(시내)","남대문",수익률 종합 (%),투자수익률,1.75,1.55
"도심(시내)","남대문",수익률 종합 (%),소득수익률,0.53,0.74
"도심(시내)","남대문",수익률 종합 (%),자본수익률,1.22,0.81
"도심(시내)","동대문",임대료 (천원/㎡),소계,44.70,44.20
"도심(시내)","동대문",공실률 (%),소계,12.50,11.50
"도심(시내)","동대문",수익률 종합 (%),투자수익률,1.43,1.53
"도심(시내)","동대문",수익률 종합 (%),소득수익률,0.45,0.66
"도심(시내)","동대문",수익률 종합 (%),자본수익률,0.98,0.87
"도심(시내)","명동",임대료 (천원/㎡),소계,199.70,190.80
"도심(시내)","명동",공실률 (%),소계,47.20,50.10
"도심(시내)","명동",수익률 종합 (%),투자수익률,0.18,-0.05
"도심(시내)","명동",수익률 종합 (%),소득수익률,0.11,0.25
"도심(시내)","명동",수익률 종합 (%),자본수익률,0.07,-0.30
"도심(시내)","시청",임대료 (천원/㎡),소계,60.30,60.10
"도심(시내)","시청",공실률 (%),소계,8.40,8.40
"도심(시내)","시청",수익률 종합 (%),투자수익률,1.29,1.41
"도심(시내)","시청",수익률 종합 (%),소득수익률,0.58,0.80
"도심(시내)","시청",수익률 종합 (%),자본수익률,0.71,0.61
"도심(시내)","을지로",임대료 (천원/㎡),소계,42.60,42.50
"도심(시내)","을지로",공실률 (%),소계,7.00,9.10
"도심(시내)","을지로",수익률 종합 (%),투자수익률,1.76,1.90
"도심(시내)","을지로",수익률 종합 (%),소득수익률,0.48,0.67
"도심(시내)","을지로",수익률 종합 (%),자본수익률,1.28,1.23
"도심(시내)","종로",임대료 (천원/㎡),소계,76.30,75.20
"도심(시내)","종로",공실률 (%),소계,10.90,10.80
"도심(시내)","종로",수익률 종합 (%),투자수익률,1.31,1.58
"도심(시내)","종로",수익률 종합 (%),소득수익률,0.51,0.75
"도심(시내)","종로",수익률 종합 (%),자본수익률,0.81,0.84
"도심(시내)","충무로",임대료 (천원/㎡),소계,48.90,48.90
"도심(시내)","충무로",공실률 (%),소계,7.40,7.40
