"기준_년_코드","기준_분기_코드","상권_구분_코드","상권_구분_코드_명","상권_코드","상권_코드_명","서비스_업종_코드","서비스_업종_코드_명","점포_수","유사_업종_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수","프랜차이즈_점포_수"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300043","전자상거래업","7","7","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300042","주유소","1","1","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300041","예술품","10","10","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300038","자동차부품","10","10","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300036","조명용품","14","14","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300035","인테리어","4","4","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300034","악기","1","1","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300033","철물점","2","2","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300032","가전제품","6","6","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300031","가구","6","6","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300029","애완동물","1","1","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300028","화초","5","5","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300027","섬유제품","5","5","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300026","완구","6","6","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300024","운동/경기용품","12","12","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300023","미용재료","2","2","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300022","화장품","50","56","2","1","0","0","6"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300021","문구","10","10","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300020","서적","5","5","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300019","의료기기","5","5","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300018","의약품","9","10","0","0","0","0","1"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300017","시계및귀금속","26","27","0","0","0","0","1"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300016","안경","8","9","0","0","0","0","1"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300015","가방","26","26","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300014","신발","44","44","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300013","유아의류","14","14","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300011","일반의류","254","254","0","0","2","4","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300010","반찬가게","15","15","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300009","청과상","3","3","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300007","육류판매","1","1","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300006","미곡판매","1","1","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300005","주류도매","5","5","20","1","20","1","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300004","핸드폰","8","8","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300003","컴퓨터및주변장치판매","20","20","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300002","편의점","2","11","0","0","9","1","9"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS300001","슈퍼마켓","14","14","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200044","여행사","8","8","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200043","건축물청소","1","1","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200042","통번역서비스","2","2","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200041","사진관","4","4","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200033","부동산중개업","7","7","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200031","세탁소","1","1","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200030","피부관리실","2","2","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200029","네일숍","2","3","0","0","0","0","1"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200028","미용실","3","6","0","0","0","0","3"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200026","자동차미용","1","1","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200024","스포츠클럽","1","1","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200019","PC방","1","1","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200015","세무사사무소","1","1","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200013","기타법무서비스","1","1","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200012","법무사사무소","3","3","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200010","변호사사무소","14","14","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200007","치과의원","4","4","0","0","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200006","일반의원","5","5","0","0","20","1","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200002","외국어학원","2","2","50","1","0","0","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS200001","일반교습학원","2","2","0","0","50","1","0"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS100010","커피-음료","19","51","0","0","0","0","32"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS100008","분식전문점","25","30","3","1","0","0","5"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS100006","패스트푸드점","2","14","0","0","0","0","12"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS100005","제과점","9","16","0","0","0","0","7"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS100004","양식음식점","32","35","0","0","0","0","3"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS100003","일식음식점","15","20","0","0","0","0","5"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS100002","중식음식점","10","13","0","0","0","0","3"
"2022","2","U","관광특구","1001496","강남 마이스 관광특구","CS100001","한식음식점","34","40","0","0","3","1","6"
"2022","2","U","관광특구","1001495","잠실 관광특구","CS300043","전자상거래업","56","56","0","0","2","1","0"
"2022","2","U","관광특구","1001495","잠실 관광특구","CS300042","주유소","1","1","0","0","0","0","0"
"2022","2","U","관광특구","1001495","잠실 관광특구","CS300041","예술품","9","9","0","0","0","0","0"
"2022","2","U","관광특구","1001495","잠실 관광특구","CS300040","재생용품 판매점","1","1","0","0","0","0","0"
"2022","2","U","관광특구","1001495","잠실 관광특구","CS300038","자동차부품","10","10","0","0","0","0","0"
"2022","2","U","관광특구","1001495","잠실 관광특구","CS300037","중고차판매","2","2","0","0","0","0","0"
"2022","2","U","관광특구","1001495","잠실 관광특구","CS300036","조명용품","11","11","0","0","0","0","0"
"2022","2","U","관광특구","1001495","잠실 관광특구","CS300035","인테리어","12","12","0","0","0","0","0"
"2022","2","U","관광특구","1001495","잠실 관광특구","CS300034","악기","2","2","0","0","0","0","0"
"2022","2","U","관광특구","1001495","잠실 관광특구","CS300033","철물점","2","2","0","0","0","0","0"
"2022","2","U","관광특구","1001495","잠실 관광특구","CS300032","가전제품","19","19","0","0","0","0","0"
"2022","2","U","관광특구","1001495","잠실 관광특구","CS300031","가구","16","16","0","0","0","0","0"
"2022","2","U","관광특구","1001495","잠실 관광특구","CS300029","애완동물","6","6","0","0","0","0","0"
"2022","2","U","관광특구","1001495","잠실 관광특구","CS300028","화초","21","21","5","1","0","0","0"
